Countries,Start_Year,End_Year,ΔTotal,Δtotal_CE/energy_consumption,Δenergy_consumption/GDP,ΔGDP/Population,Δbuilt_surface/Population,Δcement_CS/built_surface
Algeria,1975,2020,-61.823808762399004,-5.742591228776825,-7.993873541889502,86.54281831991942,18.237083894397525,-152.86724620604966
Argentina,1975,2020,-375.1476442027097,-45.79096988540516,-10485.738755503939,10530.259252493222,5.738956531599675,-379.6161278381894
Australia,1975,2020,-38.29986742511804,-17.083002500845318,-290.9436709781923,317.89270943813807,-25.973197909717975,-22.192705474500556
Austria,1975,2020,-22.92494426599046,-12.691645275932146,-83.8500026503724,91.78388121154555,-19.59109659564068,1.4239190444092293
Azerbaijan,1975,2020,63.085636440724095,9.879642486402071,-61.84542183469675,116.59571895186063,-0.35971305472358395,-1.1845901081182622
Bangladesh,1975,2020,-285.38919308695654,5.450121189628109,6.965862662365819,213.69011180880415,-89.28382207892673,-422.2114666688279
Belarus,1975,2020,70.2235331805709,10.566601065741771,-65.61008525827145,126.5748857914501,-1.5301905972525716,0.2223221789030548
Belgium,1975,2020,-71.11289408463833,-39.59438886336635,-168.42079031019247,176.47177660307787,-48.218732381351614,8.649240867194205
Brazil,1975,2020,-8.893028303625968,-17.301500953750455,-2090.757401505019,2123.2843302283986,-2.066699916968253,-22.051756156286814
Bulgaria,1975,2020,-47.37856580182799,-27.328591101547225,-3169.096606002438,3163.4175527960856,-50.05506623043815,35.68414473650975
Canada,1975,2020,-86.55789284282201,-42.507659355280786,-263.40377083047366,265.29301414031653,-5.8573030088846565,-40.08217378849944
Chile,1975,2020,-14.734356560421823,-5.444542521647973,-125.08951389986527,194.55655882536442,-2.52564671217658,-76.2312122520964
China,1975,2020,-191.75353501676233,-21.541597994980236,-193.7569625834363,379.65974709656115,-100.23093677903596,-255.88378475587095
Colombia,1975,2020,-13.93294469615411,-9.925816405522662,-80.46596863977541,98.79874074900532,6.2809667445989374,-28.620867144460316
Croatia,1995,2020,-38.79777716626734,-2.7824143519675175,-57.26124374364514,67.54606913188542,-28.431558692740648,-17.868629509799405
Cyprus,1975,2020,-1.1526091698014085,0.0,-55.52457039752796,66.72729254607229,-1.7419075730077573,-10.613423745337975
Czechia,1975,2020,-79.62020157275487,-40.214296654650205,-4262.331830387376,4232.280298104388,-42.78860687009216,33.43423423497529
Denmark,1975,2020,-79.56787080649036,-38.8336563577701,-161.5453324940909,138.03739892801292,-29.047496329054688,11.821215446412442
Ecuador,1975,2020,-13.189442183225914,-12.047077156520954,-15.930575886124606,63.00478550529372,6.615952477907072,-54.83252712378115
Egypt,1975,2020,-17.913791768935265,-2.40020147190886,-55.381989959363985,95.68008353902047,-3.0666795547890846,-52.74500432189381
Estonia,1975,2020,116.10383909904202,19.50839376500945,-116.16790902994937,213.4133071620056,-2.2659256998697863,1.6159729018461593
Finland,1975,2020,-57.00336292062555,-66.24880083055297,-188.55593841029304,212.99158475626692,-42.89955998007853,27.709351544032067
France,1975,2020,-59.32197996633634,-52.309551188510184,-117.973742072068,115.92347415667702,-26.807421125173317,21.84526026273816
Germany,1975,2020,-81.09635964360595,-39.98783877383695,-196.63574857349263,183.5719766871596,-47.22407694383967,19.179327960403718
Greece,1975,2020,4.217995106523574,-16.003664919209704,-72.60286010485524,80.8115404280338,-16.712753665294965,28.725733367849692
Hong Kong,1975,2020,-122.50790689585794,-0.3385551440712507,-181.08776333059203,273.4834822755062,-30.10118569985551,-184.46388499684542
Hungary,1975,2020,-45.78679583374845,-38.91880266069285,-209.53454696061922,215.75405418287573,-49.056691838557015,35.96919144324496
Iceland,1975,2010,-2.7639012457739227,-56.0866580110673,-47.37335180393643,100.84719431552656,-2.4523232831786106,2.3012375368818434
India,1975,2020,-34.78519848735133,-1.484338770829469,-59.614618633874,135.69187857521578,-34.93348591728045,-74.44463374058323
Indonesia,1975,2020,-142.1592326927405,5.199839762853548,-87.84314859243291,254.23858976563966,-24.398686504833403,-289.3558271239674
Iran,1975,2020,-34.565947134947145,-13.203798723236632,63.160732723721004,43.396007231974416,16.156349452504212,-144.0752378199101
Iraq,1975,2020,-11.36457516841308,-1.1643015860958872,-7.243382793522651,37.74715842834775,16.73085342111478,-57.43490263825708
Ireland,1975,2020,-24.756814282839485,-24.23415965707473,-198.57513947289075,217.68241985822215,-11.243742911639005,-8.38619209945712
Israel,1975,2020,-8.437486646964707,-5.98745398213434,-78.60672167304497,93.33893105678035,12.146745107695063,-29.328987156260826
Italy,1975,2020,-6.814387386622641,-14.693182447891848,-102.46772797624199,101.2361040024565,-23.780968571527715,32.89138760658241
Japan,1975,2020,-47.48153926494122,-6.054601276622396,-133.4032243569545,138.6174405194327,-20.733825788586714,-25.907328362210272
Kazakhstan,1975,2020,94.86600522911985,14.683685072543057,-84.62054493721335,165.1576321380673,-1.6734932795408726,1.3187262352636993
Kuwait,1980,2020,-120.36140181655054,-4.626964104391437,21.118707170560576,25.79663581586742,65.42267966935486,-228.07246036794197
Latvia,1975,2020,72.2470549697278,11.221201032778502,-76.0979600269621,138.31071032936703,-1.981249360334941,0.7943529948792865
Lithuania,1975,2020,38.99295040295225,5.923105206577947,-39.928091903243796,73.22113357890052,-1.0397812062686382,0.8165847269862273
Luxembourg,1975,2020,-141.5280234437173,-33.12245565928086,-311.1792431553045,255.73746474508943,-21.339109585455272,-31.624679788766056
Malaysia,1975,2020,-4.016034249110504,-9.11466666237637,-30.54548382346705,125.4557819496835,-9.523069837242838,-80.28859587570776
Mexico,1975,2020,-16.54972214051182,-3.9622160742822383,-60.10862881827586,82.34137086781777,-11.334316113889061,-23.485932001882396
Morocco,1975,2020,-1.4735525508606244,1.343968629465091,-29.32247796472681,64.27287309822748,-1.7821461839716195,-35.98577012985475
Netherlands,1975,2020,13.793809932641295,-79.93967627745695,-640.457441125494,621.6505361619932,-131.87223230620899,244.41262347980822
New Zealand,1975,2020,-32.55015580949322,-5.282682760602751,-125.92912827738033,133.11116395969427,-4.8687112763504725,-29.580797454853954
North Macedonia,2020,2020,0.0,0.0,0.0,0.0,-0.0,-0.0
Norway,1975,2020,-28.092536330902988,-26.454584591964217,-163.13359530699026,181.36057809721868,-33.34188519278578,13.476950663618593
Oman,1985,2020,41.04778370995712,-3.0940546908373006,8.247107198236229,19.29181914236334,14.635532861916404,1.9673791982784399
Pakistan,1975,2020,-1.0108827050467184,2.7414150139089304,-35.314788788849036,67.6762236332491,-3.590338392368604,-32.5233941709871
Peru,1975,2020,-28.525715812937186,-10.187420287633618,-1721.6728019470984,1732.8036093957503,6.844424177275484,-36.31352715123103
Philippines,1975,2020,-24.200232837108857,0.5365654114914478,-40.5090911718138,51.850127421333546,-1.16278428635442,-34.91505021176563
Poland,1975,2020,-52.39346907829042,-18.68652510473048,-4272.526905777193,4257.097713891962,-49.43287965393247,31.155127565604538
Portugal,1975,2020,1.2377496444864846,-8.719719594599397,-44.530162683553684,67.665725440399,-17.384353668371066,4.206260150611624
Qatar,1975,2020,-117.83639149601304,-4.117148474410979,-146.82924036947094,223.3555570626979,243.4352662499795,-433.68082596480855
Romania,1975,2020,-40.12302006204152,-13.452588221481333,-2184.4145406282055,2169.166528287157,-34.51435328198043,23.091933782468818
Russia,1975,2020,96.92229725153817,12.582735010629538,-79.23641288225801,163.78791754618734,-1.7852445228745772,1.5733020998538834
Saudi Arabia,1975,2020,-254.06807201548054,-32.88166676810019,-41.447816923201245,161.95682588767255,59.88507106701247,-401.58048527886416
Singapore,1975,2000,-43.65628684280287,-9.759699550920423,-99.24257348585007,186.6503182620688,26.630966624327638,-147.93529869242886
Slovakia,1995,2020,-155.43892686941996,-21.134796530612782,-146.4274145356066,130.2259466561289,-26.272686798114034,-91.82997566121543
Slovenia,1995,2020,-36.715754154382026,-18.235103818778686,-84.3217626962102,82.54782401411079,-19.138469173538933,2.431757520034999
South Africa,1975,2020,28.922662316759727,5.4051266378086575,-195.07844404839162,211.19573483325118,-38.59735499699616,45.99759989108775
Spain,1975,2020,2.687550000873685,-15.564751246750703,-69.78451731065101,85.39129740090681,-14.424620146206776,17.07014130357538
Sri Lanka,1975,2020,-40.12767029723696,1.6436952997068506,-41.01219653858556,76.46774974882443,-22.76149985328682,-54.465418953895885
Sweden,1975,2020,-93.50293651388714,-65.27863608850448,-134.39423103444582,127.91678053078417,-23.04024651689663,1.2933965951756365
Switzerland,1975,2020,-19.561857181495515,-10.445019968765221,-77.09850404317822,70.59586707115918,-8.576909814897867,5.9627095741866265
Thailand,1975,2020,-0.623203284644859,-5.361476803809178,-31.06945711805855,92.28644287784994,-26.545561160204382,-29.933151080422686
Turkey,1975,2020,-6.339074078113402,-4.973532554272007,-16.112227086224312,45.84226688922649,-0.0912472062788815,-31.004334120564685
Turkmenistan,1975,2020,178.09628355601404,27.15067116402726,-160.65800539491445,310.7242246761206,0.1586039485367232,0.7207891622439062
USA,1975,2020,-215.92210931871207,-49.635084559516514,-507.4890834722427,466.20447147650003,-40.701591134440584,-84.30082162901216
Ukraine,1975,2020,49.35797000303769,6.867959338277318,-42.763657730364805,85.08087276825584,-1.1634818271659806,1.336277454035309
United Arab Emirates,1980,2020,-633.555990088536,-34.902976919340986,87.09656682679517,-38.695112958814065,315.24243443747764,-962.2969014746537
United Kingdom,1975,2020,-122.82971434639659,-57.33106679265572,-303.1795238066157,260.309900494142,-31.677556409660596,9.048532168393455
Uzbekistan,1975,2020,41.45097024945277,6.24640062990231,-37.15393238361121,72.15160715310328,-0.15152514970917655,0.35841999976756217
Venezuela,1975,2020,22.088268815130334,-39.48755985786279,4635.170825518109,-4658.54135155794,4.077057118418664,80.86929759440592
Vietnam,1975,2020,-98.72486293232879,-11.837143485788811,-2953.144891521387,3087.877711280508,-73.5675692196087,-148.05296998605212
