Country,Region,Start_Year,End_Year,CE_End,GDP_End,Delta_CE,Delta_GDP,Pct_Delta_CE,Pct_Delta_GDP,GDP_Decoupling_Elasticity,Decoupling_State
Algeria,Africa,1975,2020,132.7,0.164873,117.19999999999999,0.149315097246,1.5880758807588076,1.6378666484472135,0.9696002310471306,Expansive Coupling
Argentina,Americas,1975,2020,162.3,0.385741,69.20000000000002,0.385741,0.5299839166730491,1.6242686059061704,0.3262908085189358,Weak Decoupling
Australia,Oceania,1975,2020,377.0,1.33038,185.1,1.233076982111,0.5864647360750269,2.038004305928841,0.28776422815639724,Weak Decoupling
Austria,Europe,1975,2020,56.2,0.435049,2.6000000000000014,0.394989793237,0.04268593006074538,1.7013081081365715,0.025090064437239955,Weak Decoupling
Azerbaijan,Asia,1975,2020,35.2,0.042693,35.1999999999,0.042693,1.187183811125675,2.3917814895021405,0.49635964503295504,Weak Decoupling
Bangladesh,Asia,1975,2020,102.4,0.373979,97.7,0.354530651927,2.801835388586177,3.7850892811895194,0.7402296697492059,Weak Decoupling
Belarus,Europe,1975,2020,56.0,0.061371755326,55.9999999999,0.061371755326,1.0754753216800172,2.6456097088207775,0.4065132200317585,Weak Decoupling
Belgium,Europe,1975,2020,105.3,0.526022,-20.700000000000003,0.460343810903,-0.16452074391988555,1.6071103356789898,-0.10237053441036892,Strong Decoupling
Brazil,Americas,1975,2020,408.4,1.47611,263.29999999999995,1.47611,0.8913941363667139,1.8026545651938959,0.49448971177172507,Weak Decoupling
Bulgaria,Europe,1975,2020,36.1,0.070368758395,-38.99999999999999,0.070368758395,-0.6482712765957446,2.4125778647226848,-0.26870480993584867,Strong Decoupling
Canada,Americas,1975,2020,500.1,1.65568,102.0,1.48126,0.2100234732117119,1.6900036771949907,0.12427397410182062,Weak Decoupling
Chile,Americas,1975,2020,85.1,0.254042,67.1,0.24642042993799998,1.3401238266426998,2.291994492549642,0.5846976644136392,Weak Decoupling
China,Asia,1975,2020,10130.9,14.6877,8999.6,14.52427,1.9327750944417363,3.915616316633862,0.4936068649604784,Weak Decoupling
Colombia,Americas,1975,2020,89.6,0.270348,55.599999999999994,0.257249366098,0.9622706818968498,1.9524843532210006,0.4928442475400114,Weak Decoupling
Croatia,Europe,1995,2020,14.9,0.058221300898,-0.1999999999999993,0.035443003917,-0.011639185257031967,0.8242518536601592,-0.014120908803962275,Strong Decoupling
Cyprus,Asia,1975,2020,7.0,0.025227189745,4.9,0.0247372749843,0.8072487644151567,2.0622205384004975,0.3914463799498749,Weak Decoupling
Czechia,Europe,1975,2020,88.4,0.245975,-99.69999999999999,0.245975,-0.7031525495451018,2.6086372088568774,-0.2695478494126165,Strong Decoupling
Denmark,Europe,1975,2020,26.0,0.354763,-30.4,0.314288593784,-0.576303317535545,1.6493140942532183,-0.34941999194912926,Strong Decoupling
Ecuador,Americas,1975,2020,29.1,0.095865472,24.3,0.08813379752799999,1.1699566682715457,2.1952275852940017,0.5329546130474924,Weak Decoupling
Egypt,Africa,1975,2020,203.3,0.383818,175.8,0.372185821131,1.4859268024680925,2.869364422609281,0.5178592132667666,Weak Decoupling
Estonia,Europe,1975,2020,15.8,0.031330419851,15.7999999999,0.031330419851,0.7943690296573208,3.1956446606792355,0.24857864813057073,Weak Decoupling
Finland,Europe,1975,2020,36.8,0.271886,-10.200000000000003,0.242413376758,-0.1900857249347746,1.6146137561154739,-0.11772829521290172,Strong Decoupling
France,Europe,1975,2020,251.5,2.64742,-205.60000000000002,2.286588,-0.5500267522739434,1.4490493550093224,-0.37957765232254964,Strong Decoupling
Germany,Europe,1975,2020,605.5,3.88773,-419.79999999999995,3.397093,-0.4732327046861085,1.5461886991310674,-0.3060640043172334,Strong Decoupling
Greece,Europe,1975,2020,56.3,0.18848,0.09999999999999432,0.15995412327300002,0.0012898232942086204,1.1204662829680265,0.001151148690339865,Weak Decoupling
Hong Kong,Asia,1975,2020,68.1,0.344943,53.39999999999999,0.334894910442,0.9992514970059879,2.1854324878302336,0.457232837239496,Weak Decoupling
Hungary,Europe,1975,2020,44.7,0.157289,-28.099999999999994,0.145905860971,-0.45750569846955386,2.0500338375236145,-0.22316982778304206,Strong Decoupling
Iceland,Europe,1975,2010,2.5,0.013751161918,0.7,0.012344286837,0.30434782608695654,1.619068797440515,0.18797708075659358,Weak Decoupling
India,Asia,1975,2020,2237.5,2.67485,1984.1,2.576376167983,1.8904292315754372,2.8813962088169904,0.6560809741439853,Weak Decoupling
Indonesia,Asia,1975,2020,512.9,1.05905,476.0,1.028586144578,1.890314125729717,2.839518239175731,0.6657164936114114,Weak Decoupling
Iran,Unknown,1975,2020,653.0,0.239735,578.6,0.18795877765000002,1.8308388444135049,0.9312474930460518,1.9660067362167564,Expansive Negative Decoupling
Iraq,Asia,1975,2020,129.8,0.180899,116.9,0.167440483237,1.651129943502825,1.8763486084561147,0.8799697114180703,Expansive Coupling
Ireland,Europe,1975,2020,33.5,0.428609,10.3,0.419125191638,0.2951289398280803,2.939333528442148,0.10040675444698485,Weak Decoupling
Israel,Asia,1975,2020,63.0,0.413268,43.9,0.397217991213,0.9174503657262276,2.6934410162451767,0.3406238934480957,Weak Decoupling
Italy,Europe,1975,2020,286.3,1.89746,-82.39999999999998,1.6697639999999998,-0.21427085500312038,1.3478719582827132,-0.15896974017926524,Strong Decoupling
Japan,Asia,1975,2020,1031.8,5.05559,108.19999999999993,4.522729,0.09832073277115434,1.2263318082216659,0.08017465755351455,Weak Decoupling
Kazakhstan,Asia,1975,2020,202.8,0.171082,202.79999999990002,0.171082,1.403751643939032,2.7318963702951877,0.5138378084917451,Weak Decoupling
Kuwait,Asia,1980,2020,85.1,0.107513,65.8,0.07887413164399999,1.1889178879743023,1.2866160057644376,0.9240658305567337,Expansive Coupling
Latvia,Europe,1975,2020,7.1,0.034390910339,7.0999999999,0.034390910339,0.7464953270905457,2.8552613842221826,0.26144553042169294,Weak Decoupling
Lithuania,Europe,1975,2020,12.1,0.056964942999,12.0999999999,0.056964942999,0.8148148148069834,3.1469081636783427,0.2589255143227842,Weak Decoupling
Luxembourg,Europe,1975,2020,9.0,0.0736993667,-3.5999999999999996,0.07057603336700001,-0.3418803418803419,2.3823966976213207,-0.14350269299050356,Strong Decoupling
Malaysia,Asia,1975,2020,247.0,0.337456,231.8,0.328157199201,1.8538067818298145,2.469446719254178,0.7506972178730388,Weak Decoupling
Mexico,Americas,1975,2020,417.8,1.12083,286.70000000000005,1.03283,0.8585374618194885,1.6579922117724941,0.5178175480701807,Weak Decoupling
Morocco,Africa,1975,2020,62.1,0.121354,51.8,0.112369146995,1.5490430622009566,2.008679480676631,0.7711748325716734,Weak Decoupling
Netherlands,Unknown,1975,2020,172.8,0.909793,-12.099999999999994,0.8095429999999999,-0.06046976511744125,1.6741816437129493,-0.03611899900140659,Strong Decoupling
New Zealand,Oceania,1975,2020,33.1,0.212698,13.700000000000003,0.199836016716,0.48341566690190546,2.284196679966697,0.2116348697735405,Weak Decoupling
Norway,Europe,1975,2020,32.8,0.367633,5.899999999999999,0.3347551948,0.18266253869969037,1.5919216942318426,0.11474341945432899,Weak Decoupling
Oman,Asia,1985,2020,69.8,0.075909397659,62.4,0.065903752239,1.810007251631617,1.7246849325415248,1.0494712497803063,Expansive Coupling
Pakistan,Asia,1975,2020,207.2,0.300426,186.1,0.289195393939,1.942183260279691,2.393069993315004,0.8115864833478098,Expansive Coupling
Peru,Americas,1975,2020,43.4,0.20141,23.799999999999997,0.20141,0.82153952364515,2.6455578131379176,0.31053546422813394,Weak Decoupling
Philippines,Asia,1975,2020,128.2,0.361751,98.19999999999999,0.344875759316,1.5089121081745542,2.6703644760219714,0.5650584861068753,Weak Decoupling
Poland,Europe,1975,2020,283.6,0.599443,-96.5,0.599443,-0.27366570245590155,2.6774130714578344,-0.10221273115204907,Strong Decoupling
Portugal,Europe,1975,2020,40.7,0.229032,18.900000000000002,0.20968439215700002,0.43072014585232454,1.6660211808267105,0.2585322148417064,Weak Decoupling
Qatar,Asia,1975,2020,107.0,0.144411,102.2,0.14189822683400002,2.449664429530201,2.6999589900026195,0.9072969028791894,Expansive Coupling
Romania,Europe,1975,2020,64.4,0.251363,-72.4,0.251363,-0.6091199730775703,3.1007121233976527,-0.19644518705274638,Strong Decoupling
Russia,Unknown,1975,2020,1459.8,1.49308,1459.7999999999,1.49308,1.0882497651741276,2.363307104087732,0.4604775076805799,Weak Decoupling
Saudi Arabia,Asia,1975,2020,558.0,0.734271,495.3,0.687497791357,1.6464448359538608,2.2718779055955056,0.7247065662722284,Weak Decoupling
Singapore,Asia,1975,2000,107.1,0.096076539926,83.6,0.090442865996,1.3704918032786884,2.1138105626443515,0.6483512891354936,Weak Decoupling
Slovakia,Europe,1995,2020,27.8,0.106738,-12.999999999999996,0.080897853595,-0.3701945894636923,1.199395452611119,-0.30865098634296795,Strong Decoupling
Slovenia,Europe,1995,2020,11.9,0.053734526854,-2.0,0.032382302835,-0.1447527141133896,0.8716693873643024,-0.16606378084595066,Strong Decoupling
South Africa,Africa,1975,2020,446.5,0.338291,274.0,0.295384094328,0.7780996194695292,1.4497043412445276,0.5367298678305358,Weak Decoupling
Spain,Europe,1975,2020,223.3,1.27813,54.900000000000006,1.163353,0.21708185053380782,1.5875476324469966,0.13674036992465202,Weak Decoupling
Sri Lanka,Asia,1975,2020,24.7,0.084304298771,20.4,0.080513000625,1.8214285714285712,2.651291458372858,0.6869967334886722,Weak Decoupling
Sweden,Europe,1975,2020,42.7,0.547054,-42.7,0.46416860237900004,-0.6491334752204317,1.511320998678085,-0.4295139654568505,Strong Decoupling
Switzerland,Europe,1975,2020,32.7,0.741999,-7.199999999999996,0.6765329181809999,-0.1762114537444933,1.8534777332289807,-0.09507071522111668,Strong Decoupling
Thailand,Asia,1975,2020,273.1,0.500462,247.00000000000003,0.48557922940599996,1.5938568755242954,2.556578741555635,0.6234335166827134,Weak Decoupling
Turkmenistan,Asia,1975,2020,89.7,0.045818,89.6999999999,0.045818,2.4048257372614446,3.796284668580676,0.6334682320229007,Weak Decoupling
USA,Unknown,1975,2020,4462.7,21.323,75.89999999999964,19.6381,0.014998992162581892,1.955182172110909,0.007671403911374793,Weak Decoupling
Ukraine,Europe,1975,2020,171.5,0.156618,171.4999999999,0.156618,0.5382756347882653,2.45402144079441,0.21934430801632118,Weak Decoupling
United Arab Emirates,Asia,1980,2020,248.5,0.349473,222.6,0.30587383994999995,1.5649117325417907,1.8284911282412641,0.8558486876810841,Expansive Coupling
United Kingdom,Unknown,1975,2020,320.9,2.69781,-315.1,2.456053,-0.5831189740363084,1.529935570919642,-0.3811395624234009,Strong Decoupling
Uzbekistan,Asia,1975,2020,111.2,0.060224701297,111.1999999999,0.060224701297,1.2824357052228619,2.3997014423058376,0.5344146911836617,Weak Decoupling
Venezuela,Unknown,1975,2020,71.1,1e-22,8.399999999999991,-0.027464651163,0.06971532907295205,-0.2951937470972131,-0.23616804135757466,Strong Negative Decoupling
Vietnam,Unknown,1975,2020,285.0,0.346616,265.2,0.346616,3.225492580880564,4.015554668453741,0.8032495750139036,Expansive Coupling
